Room,🏢,Overall,🌄,🔌,🪑,#,,📽,Notes,apiNamen
M1213B,Maskin,"2,7",2,4,4,5 av 4,2,FALSE,"Fönster mot både lobby och annat grupprum, dock inte rakt ut i trapphuset utan mot hissen, 4 av 5 stolar inte såna röda maskinstolar, saknas krokar, mycket folk i rörelse utanför, lite störren än M1213A"
SB-G302,SB,"2,7",3,5,3,6,1,FALSE,"Konstigt ljud ibland ur ventilationen, för skarpt ljus (<- men bro man kan dimma ljuset)"
EG-2515,Edit (NC),"2,6",2,5,3,6,1,FALSE,Bottenvåningen av NC är inte finaste delen av Chalmers
EG-2516,Edit (NC),"2,6",2,5,3,8 av 6,1,FALSE,"Hej jag gillar inte bottenvåningen av NC jag sitter hellre någon annanstans hej då. (Finns 3 bra stolar, resten är shit)"
M1213A,Maskin,"2,5",2,4,3,5 av 4,2,FALSE,"Ganska dåligt för Maskin, saknas krokar, lite mindre rum än nästan alla andra, fönster in till annat grupprum och ut till entrén där det blir mycket traffik. Finns dock 2 whiteboards"
Vasa-G12,Vasa,"2,5",2,2,2,11 av 16,1,TRUE,"Projektor utan batterier i kontrollen, samma vibes som G11 men fulare bord, finns en stol som inte är i trä, dock ingen diskho"
M1212F,Maskin,"2,4",3,4,3,5 av 6,1,FALSE,"Lite dåliga stolar (men 2 bra), 3 glasväggar och man kan se ut i foajen (mycket trafik) alla som ska till grupprum i denna del av M ser in i grupprummet."
Vasa-G11,Vasa,"2,3",2,2,2,11 av 16,1,TRUE,"Svårt att hitta, projektor utan sladd, trästolar, i källaren vilket get lite bad vibes men det är ändå ett fine, stort rum med tanke på allt, finns diskho"
Nobel,Bibliotek,"2,2",2,4,3,6 av 8,1,FALSE,"lite kyligt, Kemivibes men med ett fönster ut och mer fönster på dörr, slight risk för electrocution"
Motionshallen,Kårhus,"2,2",5,2,2,"1,5 + avbytarbänk",1,FALSE,"Stort fönster med fint backdrop vilket är nice. Finns hur många uttag som helst men bara längs med väggarna, konstigt blått golv och basketkorg (varför vill man ha det i grupprum?), konstigt blått bord med vita sträck på som man måste fälla ut för att använda. Kan bara boka 1h, och högt tryck. Gör inte som Erik och riv er på stolen så ni börjar blöda"
Vasa-G14,Vasa,"2,1",2,2,2,12 av 16,1,FALSE,"Ingen projektor, bara ett fönster in mot en vägg upp till Veras gräsmatta, konstig bordslayout"
